Unit,Subunit,area_ha,area,perimeter,fid,DN,cover_clas,class_perc
Stone Barn Prairie,Stone Barn Prairie,77.871,2700668.041992187500000,10866.881922245011083,1,"7",494897.679,18.325
Stone Barn Prairie,Stone Barn Prairie,77.871,2700668.041992187500000,10866.881922245011083,3,"1",152222.687,5.636
Stone Barn Prairie,Stone Barn Prairie,77.871,2700668.041992187500000,10866.881922245011083,6,"2",24610.794,0.911
Sanders,Sanders,15.127,1561508.544555664062500,6278.314573575074974,23,"3",400328.800,25.637
Sanders,Sanders,15.127,1561508.544555664062500,6278.314573575074974,1,"7",175546.448,11.242
Sanders,Sanders,15.127,1561508.544555664062500,6278.314573575074974,281,"4",364668.871,23.354
Sanders,Sanders,15.127,1561508.544555664062500,6278.314573575074974,3,"1",602157.322,38.563
Sanders,Sanders,15.127,1561508.544555664062500,6278.314573575074974,6,"2",18621.251,1.193
Sandfarm,Sandfarm,20.077,1983232.813720703125000,7951.272650406304820,23,"3",481261.992,24.267
Sandfarm,Sandfarm,20.077,1983232.813720703125000,7951.272650406304820,1,"7",222433.098,11.216
Sandfarm,Sandfarm,20.077,1983232.813720703125000,7951.272650406304820,281,"4",231462.296,11.671
Sandfarm,Sandfarm,20.077,1983232.813720703125000,7951.272650406304820,3,"1",1029243.951,51.897
Sandfarm,Sandfarm,20.077,1983232.813720703125000,7951.272650406304820,6,"2",18596.498,0.938
Gobbler,Gobbler Ridge,43.502,2141003.783203125000000,8646.498557249446094,23,"3",556202.517,25.979
Gobbler,Gobbler Ridge,43.502,2141003.783203125000000,8646.498557249446094,1,"7",316731.851,14.794
Gobbler,Gobbler Ridge,43.502,2141003.783203125000000,8646.498557249446094,281,"4",46619.468,2.177
Gobbler,Gobbler Ridge,43.502,2141003.783203125000000,8646.498557249446094,3,"1",993073.015,46.384
Gobbler,Gobbler Ridge,43.502,2141003.783203125000000,8646.498557249446094,6,"2",228109.642,10.654
Gobbler,Gobbler Bottoms,3.002,1159555.729736328125000,4639.805829331623499,23,"3",198905.615,17.154
Gobbler,Gobbler Bottoms,3.002,1159555.729736328125000,4639.805829331623499,1,"7",69760.268,6.016
Gobbler,Gobbler Bottoms,3.002,1159555.729736328125000,4639.805829331623499,281,"4",33280.065,2.870
Gobbler,Gobbler Bottoms,3.002,1159555.729736328125000,4639.805829331623499,3,"1",827945.875,71.402
Gobbler,Gobbler Bottoms,3.002,1159555.729736328125000,4639.805829331623499,6,"2",29523.633,2.546
Bishop,Bishop South,11.427,1490654.449584960937500,5964.163712669009328,23,"3",625647.786,41.971
Bishop,Bishop South,11.427,1490654.449584960937500,5964.163712669009328,1,"7",143953.431,9.657
Bishop,Bishop South,11.427,1490654.449584960937500,5964.163712669009328,281,"4",21256.526,1.426
Bishop,Bishop South,11.427,1490654.449584960937500,5964.163712669009328,3,"1",659718.403,44.257
Bishop,Bishop South,11.427,1490654.449584960937500,5964.163712669009328,6,"2",39896.053,2.676
Clear Creek,Clear Creek Knolls,166.683,3816821.493652343750000,15364.980389674617982,23,"3",1830354.343,47.955
Clear Creek,Clear Creek Knolls,166.683,3816821.493652343750000,15364.980389674617982,1,"7",557119.917,14.596
Clear Creek,Clear Creek Knolls,166.683,3816821.493652343750000,15364.980389674617982,281,"4",105904.021,2.775
Clear Creek,Clear Creek Knolls,166.683,3816821.493652343750000,15364.980389674617982,3,"1",1253826.006,32.850
Clear Creek,Clear Creek Knolls,166.683,3816821.493652343750000,15364.980389674617982,6,"2",69174.024,1.812
